mediane;stabilité
441590;259.02
281682;277.69
281084;277.13
281092;277.70
281019;277.20
253186;240.45
252940;239.97
253117;240.21
276213;271.15
258967;248.12
200651;169.81
148854;100.14
148820;100.10
148873;100.16
154304;107.41
148788;100.01
133164;79.00
133111;78.93
133167;79.07
126480;70.06
126434;70.02
126448;69.97
126475;70.11
133239;79.12
114971;54.58
114973;54.65
114989;54.62
114996;54.62
105379;41.71
92532;24.44
93669;26.03
90418;21.56
90365;21.50
90351;21.54
90410;21.58
90346;21.50
90401;21.55
90337;21.49
81592;9.69
90353;21.56
81590;9.76
81565;9.67
88119;18.53
90401;21.59
90336;21.51
81598;9.72
90342;21.50
81618;9.79
81586;9.74
81547;9.70
81568;9.73
81630;9.79
81598;9.73
81573;9.74
79056;6.37
81568;9.70
81628;9.83
79058;6.37
79121;6.44
79077;6.36
79064;6.31
79034;6.32
79067;6.33
81594;9.73
79046;6.32
79069;6.33
79023;6.29
81564;9.70
79385;6.75
81566;9.70
79048;6.33
79076;6.35
79106;6.39
81637;9.82
74483;0.18
74475;0.17
79079;6.35
79139;6.45
74528;0.22
74487;0.18
74453;0.14
74473;0.13
79119;6.38
74747;0.54
74473;0.17
74492;0.19
74452;0.14
74441;0.14
74457;0.15
74485;0.17
79064;6.34
76413;2.78
79039;6.27
76820;3.32
79044;6.31
74470;0.15
74479;0.19
74483;0.21
76678;3.14
74501;0.17
